,id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,type,endY,endX,Angle,Zone,Length,longBall,Cross,throughBall,freeKick,Corner,Penalty,Foul,fastBreak,ownGoal,Yellow,Red,jerseyNum,throwIn,goalKick,Saved,Missed,bigChance,blockedX,blockedY,isHeader,Blocked,h_a
0,2694206925,1,34,16,0,0,dqq34048nqex146r77i5l8twq,Successful,0.0,0.0,2024-06-02T19:51:22.652Z,2024-06-02T19:51:22Z,"[{'id': 5067147495, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0', 'Name': 'Team player formation'}, {'id': 5067147499, 'qualifierId': 197, 'value': '14630', 'Name': 'Team kit'}, {'id': 5067147501, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0', 'Name': 'Resume'}, {'id': 5067147489, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5', 'Name': 'Player position'}, {'id': 5067147487, 'qualifierId': 30, 'value': '15ara0jd9j49swuwoi7z8pzo5, 2q032302ebdlpcuytftf5vpp1, 6oaqk4pdojnlefa3zubsysmvp, 9g7jit9xa9c5b25gfl6wy7kd1, 537yyv46hctf4ig8h7x63cokq, 22zkj62c3nnd2zerfbntlevze, ahsgqqn4mjj7isq2x0fdkl49, 4idetzvjwz78efzrndpox5jv9, 8vzvcjbccc5skj9e7n5f6vd3o, czazwj4nt23bydpdi67i0wga2, bqxs1jhlsp1xlksbhs62syfbo, 4ywn289r9mrs444sgkgduyivo, 9b29l83qhedv79h20lgyu9tqt, eswivc2a0iwwdly6ft8eh0ogl, 1dk0bdadfdnycriqp8u21ulpm, cqx2x7351ie20giqha8hd5djp, 66bdf9l614g2dx43x8003m162, 52rcg38mijjjusfwqxa2l7hex, 2mmmt24h514bl1j112kf99dd5, 4f2bppk56sa7dqgw652x0fzdh', 'Name': 'Involved'}, {'id': 5067147491, 'qualifierId': 59, 'value': '1, 14, 21, 8, 29, 34, 13, 30, 33, 11, 18, 25, 6, 10, 15, 22, 23, 24, 28, 37', 'Name': 'Jersey number'}, {'id': 5067147497, 'qualifierId': 194, 'value': '9g7jit9xa9c5b25gfl6wy7kd1', 'Name': 'Captain'}, {'id': 5067147493, 'qualifierId': 130, 'value': '4', 'Name': 'Team formation'}]",,,,,team_setup,,,,,,,,,,,,,,,,,"1, 14, 21, 8, 29, 34, 13, 30, 33, 11, 18, 25, 6, 10, 15, 22, 23, 24, 28, 37",,,,,,,,,,
1,2694207073,1,34,16,0,0,943ue6l8ylnidoygbi9p8op2h,Successful,0.0,0.0,2024-06-02T19:51:54.196Z,2024-06-02T19:51:54Z,"[{'id': 5067148391, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0', 'Name': 'Team player formation'}, {'id': 5067148389, 'qualifierId': 130, 'value': '17', 'Name': 'Team formation'}, {'id': 5067148395, 'qualifierId': 197, 'value': '3344', 'Name': 'Team kit'}, {'id': 5067148381, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5', 'Name': 'Player position'}, {'id': 5067148393, 'qualifierId': 194, 'value': '4ea0sjczqa5ah1w720zlakkfe', 'Name': 'Captain'}, {'id': 5067148385, 'qualifierId': 59, 'value': '22, 11, 26, 4, 3, 5, 13, 8, 29, 9, 10, 1, 2, 7, 16, 19, 20, 21, 24, 35', 'Name': 'Jersey number'}, {'id': 5067148375, 'qualifierId': 30, 'value': 'cu84s15ig7u7g9iwwcff82yuh, 234q7lf0bx51r8wehvg51r4k5, 2p6uagebunshlw5zmp16748dm, 652d6i0jem2jymjfzd8w0ndn9, 2qa0nfm4bi2wn6b6eajf8980l, 4tz64bm0vbosads0bbsw7n5xx, 2m4iwb3oo5zzfbxrua7ver3kl, 66fdz442trpbwdi3s7i8ktxw5, 4tci69chjeg0ukx8fs4h7r6j9, c267r9oskj83zo9v4vdbvccet, 4ea0sjczqa5ah1w720zlakkfe, 26r7731d42flwc6ikxb90jxlh, erjg1qs9modbqfkfiz6picyqx, 84aebyqt0y9r2jjml4u1z0ij9, e8an897mmidiq51r2wz1c3jdh, 7su9vrjsmo84ae2prlgpc41k9, 3vlv0gwh5fgwri12fkn4k2stm, 8pzkxfe5txe71u08n67d8k1uy, d3gmzmf34c6o8vzngnf7ishlg, 9zuk40rppwiyzn980bw7z1v1m', 'Name': 'Involved'}, {'id': 5067148399, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0', 'Name': 'Resume'}]",,,,,team_setup,,,,,,,,,,,,,,,,,"22, 11, 26, 4, 3, 5, 13, 8, 29, 9, 10, 1, 2, 7, 16, 19, 20, 21, 24, 35",,,,,,,,,,
2,2694232995,2,32,1,0,0,943ue6l8ylnidoygbi9p8op2h,Successful,0.0,0.0,2024-06-02T20:55:56.809Z,2024-06-02T20:57:04Z,"[{'id': 5067299377, 'qualifierId': 127, 'value': 'Left to Right', 'Name': 'Right to Left Left to Right'}]",,,,,start_of_period,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2694232827,2,32,1,0,0,dqq34048nqex146r77i5l8twq,Successful,0.0,0.0,2024-06-02T20:55:56.809Z,2024-06-02T20:57:05Z,"[{'id': 5067298507, 'qualifierId': 127, 'value': 'Right to Left', 'Name': 'Right to Left Left to Right'}]",,,,,start_of_period,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2694250349,465,1,1,0,1,943ue6l8ylnidoygbi9p8op2h,Successful,49.6,50.1,2024-06-02T20:55:57.810Z,2024-06-02T22:02:12Z,"[{'id': 5067392737, 'qualifierId': 141, 'value': '50.6', 'Name': 'Pass End Y'}, {'id': 5067392733, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067392735, 'qualifierId': 140, 'value': '41.8', 'Name': 'Pass End X'}, {'id': 5067392741, 'qualifierId': 213, 'value': '3.10', 'Name': 'Angle'}, {'id': 5067392739, 'qualifierId': 212, 'value': '8.2', 'Name': 'Length'}, {'id': 5067392743, 'qualifierId': 279, 'value': 'S', 'Name': 'not sure!'}]",4tci69chjeg0ukx8fs4h7r6j9,J. Thiaré,,,pass,50.6,41.8,3.1,Back,8.2,,,,,,,,,,,,,,,,,,,,,,h
5,2694233107,3,1,1,1,11,943ue6l8ylnidoygbi9p8op2h,Unsuccessful,69.2,16.7,2024-06-02T20:57:08.772Z,2024-06-02T20:59:14Z,"[{'id': 5067299949, 'qualifierId': 56, 'value': 'Center', 'Name': 'Zone'}, {'id': 5067299955, 'qualifierId': 212, 'value': '35.6', 'Name': 'Length'}, {'id': 5067299957, 'qualifierId': 213, 'value': '0.70', 'Name': 'Angle'}, {'id': 5067299951, 'qualifierId': 140, 'value': '95.2', 'Name': 'Pass End X'}, {'id': 5067301997, 'qualifierId': 5, 'Name': 'Free kick taken'}, {'id': 5067301999, 'qualifierId': 152, 'Name': 'not sure!'}, {'id': 5067299945, 'qualifierId': 2, 'Name': 'Cross'}, {'id': 5067299959, 'qualifierId': 1, 'Name': 'Long ball'}, {'id': 5067299953, 'qualifierId': 141, 'value': '50.4', 'Name': 'Pass End Y'}, {'id': 5067299947, 'qualifierId': 155, 'Name': 'Chipped'}]",4ea0sjczqa5ah1w720zlakkfe,T. Almada,,,pass,50.4,95.2,0.7,Center,35.6,True,True,,True,,,,,,,,,,,,,,,,,,h
6,2694233115,3,52,1,1,16,dqq34048nqex146r77i5l8twq,Successful,8.0,50.3,2024-06-02T20:57:12.976Z,2024-06-02T20:57:13Z,[],15ara0jd9j49swuwoi7z8pzo5,K. Kahlina,,,keeper_pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,a
7,2694233153,4,1,1,1,21,dqq34048nqex146r77i5l8twq,Successful,9.6,42.1,2024-06-02T20:57:17.872Z,2024-06-02T20:57:20Z,"[{'id': 5067300145, 'qualifierId': 123, 'Name': 'Keeper Throw'}, {'id': 5067300149, 'qualifierId': 140, 'value': '20.3', 'Name': 'Pass End X'}, {'id': 5067300155, 'qualifierId': 213, 'value': '5.26', 'Name': 'Angle'}, {'id': 5067300153, 'qualifierId': 212, 'value': '21.5', 'Name': 'Length'}, {'id': 5067300147, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067300151, 'qualifierId': 141, 'value': '15.2', 'Name': 'Pass End Y'}]",15ara0jd9j49swuwoi7z8pzo5,K. Kahlina,,,pass,15.2,20.3,5.26,Back,21.5,,,,,,,,,,,,,,,,,,,,,,a
8,2694233163,5,1,1,1,23,dqq34048nqex146r77i5l8twq,Successful,24.6,9.5,2024-06-02T20:57:20.608Z,2024-06-02T20:57:24Z,"[{'id': 5067300213, 'qualifierId': 141, 'value': '2.9', 'Name': 'Pass End Y'}, {'id': 5067300217, 'qualifierId': 213, 'value': '5.94', 'Name': 'Angle'}, {'id': 5067300211, 'qualifierId': 140, 'value': '36.4', 'Name': 'Pass End X'}, {'id': 5067300209, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067300215, 'qualifierId': 212, 'value': '13.2', 'Name': 'Length'}]",537yyv46hctf4ig8h7x63cokq,A. Malanda,,,pass,2.9,36.4,5.94,Back,13.2,,,,,,,,,,,,,,,,,,,,,,a
9,2694233171,6,1,1,1,27,dqq34048nqex146r77i5l8twq,Unsuccessful,53.6,1.6,2024-06-02T20:57:24.207Z,2024-06-02T20:57:25Z,"[{'id': 5067300247, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}, {'id': 5067300251, 'qualifierId': 141, 'value': '4.9', 'Name': 'Pass End Y'}, {'id': 5067300253, 'qualifierId': 212, 'value': '18.4', 'Name': 'Length'}, {'id': 5067300255, 'qualifierId': 213, 'value': '0.12', 'Name': 'Angle'}, {'id': 5067300249, 'qualifierId': 140, 'value': '71.0', 'Name': 'Pass End X'}]",2q032302ebdlpcuytftf5vpp1,N. Byrne,,,pass,4.9,71.0,0.12,Right,18.4,,,,,,,,,,,,,,,,,,,,,,a
