,player_last_name,jersey_number,goals_added_above_avg,team_name
0,Lobzhanidze,9,0.35201752824401017,Atlanta United
1,Malanda,29,0.18449030175535108,Charlotte FC
2,Almada,10,0.1840349784965876,Atlanta United
3,Costa Silva,16,0.11226434027701282,Atlanta United
4,Williams,3,0.10953145469535043,Atlanta United
5,McCarty,13,0.09482917646065557,Atlanta United
6,Lennon,11,0.0772338600607042,Atlanta United
7,Abram,4,0.07580863788453963,Atlanta United
8,Wiley,26,0.0757118554563646,Atlanta United
9,Abada,11,0.06933801795704914,Charlotte FC
10,Mosquera,20,0.05781709275583891,Atlanta United
11,Bronico,13,0.05170677080795035,Charlotte FC
12,Fortune,35,0.05169213330298325,Atlanta United
13,Calderón Vargas,18,0.04773944956365209,Charlotte FC
14,Diani,28,0.023950693300696043,Charlotte FC
15,Privett,34,0.01949653878538039,Charlotte FC
16,Gregersen,5,0.009889085959153814,Atlanta United
17,Uronen,21,-0.028733490243422536,Charlotte FC
18,Smalls,25,-0.03641900552465197,Charlotte FC
19,Dejaegere,10,-0.04837743770125416,Charlotte FC
20,Cobb,24,-0.05038346543756642,Atlanta United
21,Thiare,29,-0.06621836067787061,Atlanta United
22,Giakoumakis,7,-0.07502881906753824,Atlanta United
23,Westwood,8,-0.09930760624489854,Charlotte FC
24,Muyumba Nkita,8,-0.14554446712091698,Atlanta United
25,Agyemang,33,-0.1532997679102152,Charlotte FC
26,de Almeida Júnior,30,-0.1811463541446956,Charlotte FC
27,Byrne,14,-0.7644200979022856,Charlotte FC
